global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
1457.2085169058746	n/a	n/a	2123456.6617430192	2161.0637026962477	n/a	n/a	4670196.327111216	1777.534950047323	n/a	n/a	3159630.4986397387	1791.665347678681	1549.5367820330573	n/a	n/a	n/a	n/a	-0.029553765899999997	-0.0100265587	0.1736400301	-0.0653736724	0.0030274728999999997	-0.1032547034	0.0801404425	-0.0680706303	0.0702728062	-0.307781898	0.2343766907	-0.0086664072	0.0673264142	-0.0939571206	0.1276960192	-0.07183404780000001	0.0242500354	-0.12160055609999999	-0.0550987056	0.19722857929999998	-0.2373315374	0.15026157	-0.0447404151	0.0828187424	-0.1606580412	0.3821105454	0.0256719646	-0.11656073119999999	0.0755872576	-0.025806414500000003	0.05814413860000001	-0.042128591900000005	0.0744523536	-0.08191956639999999	0.0704361238	-0.020938805300000002	0.0016354691	-0.1402704929	0.0612387324	0.20064771239999998	-0.0685021032	0.0912331474	0.053664210999999996	-0.2105876065	0.08947452310000001	-0.0279649762	0.0340153889	-0.0642912611	0.1155441215	0.0117519726	-0.1633204716	0.27881278239999996	-0.025195132599999996	0.0341194852	-0.16179084970000002	0.06585536780000001	-0.4049457071	0.0350225636	-0.0300109153	0.0733609315	-0.107783443	0.0415711929	-0.0141341192	0.0414074059	-0.0358864352	0.0730289551	-0.019221254	0.025638802999999998	-0.0664396396	0.0990639584	-0.0826913417	0.2904531622	-0.10314570460000001	-0.0118985617	0.16821100579999998	0.0076539426	0.1285540361	0.1285215385	0.1284673818	0.007924709999999998	n/a	6.280102858409998e-05	n/a	-0.017504599999999995	n/a	0.00030641102115999984	n/a	0.0394052	n/a	n/a	0.0015527697870399994	-0.000412497	n/a	1.7015377500899994e-07	n/a	0.00124296	n/a	1.5449495616e-06	n/a	-0.00104837	n/a	n/a	1.0990796569e-06	0.0	0.0	0.0	0.0
1455.1220967660654	-2.0864201398092064	4.353148999801468	2117380.3164968705	2157.8911660874796	-3.1725366087680413	10.064988533973423	4656494.284678383	1777.075781923451	-0.4591681238721321	0.21083536598025368	3157998.334698844	1790.9992981601404	1542.8534070171775	0.916457	9.985051	0.09570335999999996	0.041832199999999986	-0.059245646	0.0034638425	0.1462076732	-0.0450272891	0.0386342098	-0.1712282258	0.06438205400000001	-0.1430770008	0.028848264199999998	-0.1425147014	0.09761479710000001	-0.0644049337	-0.0389291834	-0.0270099058	-0.0755495034	-0.0826236094	0.11227811439999999	0.0470618594	-0.07184351900000001	0.1206411968	-0.18182828129999998	0.042225453600000004	-0.045986451500000004	0.0749815064	-0.1610138957	0.0789659439	0.0024498837	-0.054398218	0.0869668817	-0.0177061183	0.0928597553	0.08016790509999999	0.0037456538	0.0369131485	-0.040138329	0.0867444297	0.050194354299999994	-0.00368538	0.1123143185	-0.10014909429999999	0.18051089809999998	-0.08253918589999999	-0.1366890665	0.043286921799999996	0.0420212497	0.035727715099999995	-0.0069127704000000005	-0.1260817225	-0.0495114436	0.0473412939	-0.1430978239	0.1829675551	0.013247058700000001	0.0319608547	-0.0994302834	0.15001459179999999	-0.1204864706	0.033655212000000004	-0.0406897886	0.057697271200000004	-0.1065990085	-0.0008231208	0.08540105390000001	-0.0137139748	0.0312938713	-0.0266506769	0.0213907559	0.1319194658	-0.08347616320000001	-0.0986308336	-0.0328054436	-0.1023632548	0.1715129069	0.0144009816	0.0184867773	0.0533436267	0.1284673818	0.1281750671	0.1276883686	0.00941603	0.0014913200000000026	8.86616209609e-05	2.224035342400008e-06	0.00611314	0.023617739999999998	3.73704806596e-05	0.0005577976427075998	0.0248761	-0.014529099999999996	0.00021109474680999988	0.0006188203512100001	-0.000859704	-0.000447207	7.390909676159998e-07	1.9999410084900005e-07	0.0007935229999999998	-0.0004494370000000002	6.296787515289996e-07	2.019936169690002e-07	-0.00127303	-0.00022466	5.04721156e-08	1.6206053809000005e-06	0.0	0.0	0.0	0.0
1454.048394896226	-1.0737018698393967	1.152835705296617	2114256.7347002914	2156.4876559087406	-1.4035101787389976	1.969840821823973	4650439.010086775	1775.334909070028	-1.7408728534228428	3.0306382917845918	3151814.039362685	1789.2950925476825	1538.0342693981622	0.959411	10.453044	0.169378311582	0.08573509999999998	-0.0725056749	-0.041749725	0.10223564980000001	0.0520170215	-0.0275390439	-0.14810998390000002	0.0112858197	-0.1661517459	0.09529545960000001	-0.1068549138	0.1164820458	-0.006166343	-0.0561671746	-0.025572662200000002	0.1140937456	-0.076261821	-0.0284488208	0.1506915543	-0.0618425368	0.1606189254	-0.1247864908	-0.025132190699999998	-0.053370174400000005	-0.009042530699999999	-0.09911449439999999	0.0426617383	0.1116831037	0.0320824025	-0.0663976091	0.07557801459999999	0.0077547161	-0.10797918599999999	-0.0628963459	0.0093209911	-0.0128343511	-0.000831432	-0.0254540659	-0.0006365041	0.0476819016	-0.09499858359999999	0.10220970089999999	0.2315043056	0.0739551891	0.0328244601	0.066763316	-0.0473763484	0.069407638	-0.0159649761	-0.1451719831	0.0285042346	-0.1563677643	0.1377179051	0.069690212	0.0489629042	-0.0462247686	0.08930645970000001	-0.0867493463	-0.09333206949999999	-0.013952803500000001	-0.0619951923	0.0246978012	-0.0118383583	-0.10605059859999999	0.0546632776	0.0557482258	-0.0269451101	0.1037125692	0.0982878767	-0.09154205689999999	-0.0729156213	-0.0922645413	-0.1371314686	-0.1615211716	0.0345688449	-0.026205658399999998	-0.0242991875	0.1282941315	0.1274830585	0.1261350661	7.934179999999999e-07	-0.009415236581999999	6.295121227239998e-13	8.864667989503105e-05	-0.00767697	-0.01379011	5.89358683809e-05	0.00019016713381210006	0.00906376	-0.015812339999999998	0.00025003009627559995	8.215174533760001e-05	-0.000461093	0.000398611	2.1260675464900006e-07	1.5889072932099993e-07	-6.58835e-05	-0.0008594064999999997	4.34063557225e-09	7.385795322422495e-07	7.6165e-05	0.001349195	1.820327148025e-06	5.801107225e-09	0.0	0.0	0.0	0.0
1454.1809522301965	0.13255733397045333	0.0175714467893543	2114642.241829121	2156.9065679709115	0.4189120621708753	0.17548731583225527	4652245.942956056	1777.0457346733301	1.7108256033020552	2.9269242449138413	3157891.543120676	1790.5855699689353	1519.4418961086335	1.125709	12.2649	0.178069088418	0.0984032	-0.0998611368	-0.0535543206	0.0069351406	0.11764824269999999	-0.0268830904	-0.12485344820000001	0.0080091517	-0.1032128118	0.0672685741	-0.004313823400000001	-0.0260792635	0.12072400529999999	-0.0108068824	-0.1055617936	0.1916741481	-0.1280432627	-0.081676076	0.05764415730000001	-0.0279775277	0.1083443498	-0.048411265700000004	-0.0344335865	0.13265648130000002	-0.10435804789999999	-0.032034654100000004	-0.0093850246	0.19990048600000002	-0.0013903541	-0.0147741795	0.0036984332	-0.1494325109	-0.0089755989	-0.1025871	0.2513397646	-0.10680192960000001	0.050993118399999995	-0.0299751989	0.011453837199999999	-0.2128066199	-0.15828358509999998	0.0821442293	0.17530467579999998	-0.1566556381	0.0417725022	-0.0358331837	0.2117017818	0.1570848118	-0.0108185051	-0.0505302026	-0.0017675757999999996	-0.10009688289999999	0.0701246567	0.0761001142	-0.11728378810000001	0.081155223	0.009648880600000001	-0.029830846499999997	-0.200252734	-0.060743052400000004	0.0159028612	0.0404461787	0.0238541933	-0.0615869775	-0.1898435021	-0.0030211569	-0.19018799399999997	0.0383556034	-0.0996692924	-0.0577739172	-0.0075022996	0.0218819141	-0.32153514829999996	-0.1261152144	-0.054962469400000005	0.0361495519	-0.0454919996	0.1280344021	0.126447378	0.1238168934	-0.00957736	-0.009578153418	9.17258245696e-05	9.174102289874508e-05	0.016993999999999995	0.024670969999999997	0.0002887960359999998	0.0006086567607408997	0.0197266	0.01066284	0.0001136961568656	0.00038913874756	-0.0005921780000000001	-0.00013108500000000002	3.506747836840001e-07	1.718327722500001e-08	-0.000957886	-0.0008920025	9.175455889959999e-07	7.956684600062498e-07	0.00171622	0.001640055	2.6897804030250004e-06	2.9454110884e-06	0.0	0.0	0.0	0.0
1455.379269939392	1.198317709195635	1.4359653321718744	2118128.819369318	2157.126084082308	0.2195161113963877	0.0481873231625913	4653192.942628272	1777.185424174348	0.13968950101798328	0.01951315669465315	3158388.0318977577	1790.8159142537909	1534.8320167737336	0.981973	10.698857	0.12665846514000004	0.0679955	-0.1181371055	-0.0797135335	-0.0063729689	0.1713497523	-0.0325772207	-0.0676715262	0.044633270999999995	-0.10984746210000004	0.08950872800000001	0.0075183733	-0.0061433788	-0.0548133984	0.0100758884	-0.0917996382	0.0813299229	-0.1172300215	-0.12383320699999999	0.064983313	-0.0334815668	0.057481139800000004	-0.0565839492	0.028038497599999997	0.0091730957	-0.1392100556	-0.1094108963	0.033388665	0.0766211619	0.0415904259	-0.0128110054	0.0155591842	-0.079414256	-0.0314677493	0.0164194878	-0.12399747369999999	-0.0083011984	-0.10800573349999999	-0.054289683600000006	-0.0721788266	-0.0199093242	0.0785258311	-0.0607130091	0.008238386700000001	-0.0352343706	-0.0605295502	-0.0797860328	0.1367161676	0.1739604689	0.0278354177	-0.0668116357	0.0153549181	-0.06626242780000001	0.0767892869	0.0064866417	0.0175621517	0.1050023149	0.0706477232	-0.0901500058	-0.1318380989	0.013615583300000001	-0.011457913600000001	0.0484052384	-0.011040969	-0.0618296176	0.0298600956	-0.0296094482	0.11144854859999999	0.014240866100000001	-0.059033358099999995	-0.0070882331000000015	0.0719388139	0.0226516752	0.0737630708	-0.0548638683	-0.056877356	-0.0319191852	0.019950334099999998	0.1276883686	0.12507081779999998	0.1207479075	3.05664e-06	0.00958041664	9.343048089599999e-12	9.17843829959889e-05	0.0226601	0.005666100000000004	0.0005134801320099999	3.210468921000004e-05	0.0227781	0.0030514999999999987	9.311652249999992e-06	0.0005188418396099999	-0.000924105	-0.000331927	8.539700510250002e-07	1.1017553332899999e-07	-6.72303e-06	0.0009511629699999999	4.5199132380900005e-11	9.047109954992209e-07	0.000832101	-0.0008841189999999999	7.816664061610002e-07	6.92392074201e-07	0.0	0.0	0.0	0.0
1454.0416096006418	-1.337660338750311	1.7893351818655967	2114237.002450025	2159.07077499161	1.9446909093021527	3.781822732722435	4661586.611422871	1776.0115489731095	-1.1738752012386158	1.3779829880830006	3154217.0220858636	1789.957254617671	1537.949953083602	1.004326	10.942398	0.054443268560000015	0.026388400000000003	-0.11446971439999999	-0.081776697	-0.0224645152	0.1790664918	-0.0284598386	-0.0219638869	-0.0486723059	-0.0669791137	0.0756784276	-0.059273612300000014	0.0529228429	0.0783140165	0.0740269016	0.0322152366	0.12348547380000001	-0.10471328560000001	-0.1436596328	0.1070988907	-0.097196103	0.1446175833	-0.1255012108	-0.0189853291	0.0111130921	-0.0075868164	-0.0416853369	0.001781535	0.0876101404	0.12334845230000001	-0.061815900800000004	-0.039308853	-0.0156766669	-0.050824765300000005	0.0083473039	0.07836955849999999	0.0228476725	-0.151462701	-0.11482852539999999	0.0131873449	0.0622366427	-0.0631297583	-0.153049377	-0.1300139657	0.06929043139999999	-0.0130567553	-0.1242817549	-0.0326802941	0.17330605870000002	0.0555386913	-0.1006165806	0.061752546	-0.1190278792	0.1175259616	0.1022507619	0.0048681092	-0.0386139909	-0.0118367526	-0.0446165767	-0.1394514671	0.0620054683	-0.0937205234	0.0351146369	0.0322021678	-0.04867084519999999	0.0175142507	-0.048819207	-0.010783463899999998	0.09799013029999999	-0.0240825407	0.1907763121	0.0873321016	0.21305042230000001	0.056042268099999994	0.07859429230000001	0.028559965299999997	-0.0093047447	-0.006824193	0.1272562643	0.12335708880000001	0.1169467186	1.35217e-05	1.046506e-05	1.8283637089000001e-10	1.0951748080360005e-10	0.00590015	-0.01675995	3.48117700225e-05	0.0002808959240025	0.0158644	-0.0069136999999999975	4.779924768999997e-05	0.00025167918736	-0.0005921780000000001	0.000331927	3.506747836840001e-07	1.1017553332899999e-07	-5.38001e-05	-4.707707e-05	2.89445076001e-09	2.2162505197849007e-09	0.00106828	0.00023617900000000002	5.5780520040999995e-08	1.1412221584e-06	0.0	0.0	0.0	0.0
1458.779328318457	4.737718717815142	22.44597864913595	2128037.1287292484	2160.2552849605067	1.1845099688966911	1.4030638664156403	4666702.8961998	1777.6111393268793	1.5995903537698268	2.55868929987348	3159901.3626590064	1791.5058586227628	1512.539740507113	1.323357	14.418328	0.0900115167	0.0476509	-0.0682783795	-0.0316897446	-0.14425340679999998	0.1673915011	0.037887458900000004	0.06307312	0.0582778058	0.07617279240000001	0.1037660947	0.0136494597	-0.0609512406	0.1939544917	0.009764160400000001	0.0024242968	0.05595105400000002	-0.1807501711	-0.1385746859	0.056435534100000004	-0.0099527795	0.0491365755	-0.0603590145	-0.0962142949	0.0445622499	-0.0336140641	0.0919401911	-0.0237453882	0.0705201074	0.1407711225	-0.0841512215	-0.10545976	0.013227618799999999	0.0567349959	-0.01180215	-0.1705168343	-0.011057558	-0.0822962716	0.1323562098	0.0295955046	0.010004787900000001	0.050393191	-0.049134121600000004	-0.1744007755	-0.0198405817	-0.007571915	0.1096085697	-0.0568802642	0.22555789489999997	-0.0086882951	-0.05355082519999999	0.0059156207	0.0130211046	0.03670586	0.1423194678	-0.0452919732	0.0151432698	-0.1054729542	0.033623472200000004	-0.1149512243	0.0841511225	-0.0645382845	0.0866545859	0.0886448235	0.050128800999999994	0.0616979853	0.049761481399999995	0.1373302393	-0.0534343855	-0.09986571300000001	0.082244415	-0.089310154	0.0040639134999999995	0.08879014060000001	0.1649584181	-0.07280373400000001	-0.0021706138	0.0632125797	0.1267383804	0.1213108108	0.1124363766	-0.0117315	-0.011745021699999999	0.00013762809225	0.0001379455347334709	0.008850149999999998	0.0029499999999999978	7.832515502249996e-05	8.702499999999988e-06	0.0315403	0.0156759	0.00024573384081	0.0009947905240899999	-0.0005921780000000001	0.0	3.506747836840001e-07	0.0	-0.000812105	-0.0007583049000000001	6.59514531025e-07	5.7502632136401e-07	0.000633773	-0.000434507	1.88796333049e-07	4.01668215529e-07	0.0	0.0	0.0	0.0
1462.807757274557	4.028428956100015	16.228239854345055	2139806.534742619	2163.4456201729017	3.1903352123949844	10.17823876744735	4680496.951445311	1778.7205255488827	1.1093862220034223	1.2307377895710272	3163846.7080088938	1792.8990683510776	1527.0629863643487	1.179908	12.855417	0.055613898000000016	0.0279824	-0.08655497109999999	0.0263320963	-0.1239615042	0.10085307980000001	0.09372180880000001	0.11396083480000001	0.15776881	-0.0518049083	0.022311252799999997	-0.0408076818	0.020761947	-0.0145715727	-0.0320329142	0.0486414046	-0.0204416137	-0.2017287477	-0.0400997923	0.0015243695000000002	0.0673497238	-0.0250962567	-0.0074513318000000005	-0.1195155585	0.08813606630000001	0.038012245	0.1014620619	-0.0220104325	-0.08634024400000001	-0.012943452	0.0067893827	-0.0578877678	0.014258088300000001	-0.080054283	0.0548225772	-0.1142364651	-0.12203867619999999	0.1681519941	-0.0125257071	0.1051008863	-0.0614455664	0.1057297182	-0.0575501559	-0.1919745559	-0.0246728283	0.12435762439999999	0.0463062444	-0.0402462574	0.18440781260000005	-0.1040795647	-0.013226143000000001	-0.0449201052	0.0953090726	-0.01379054	0.1181435602	-0.0704159241	0.0109111444	-0.0864230539	0.0899067127	0.1027538128	0.033967984900000005	-0.0077794242	-0.05430934	0.030931801000000002	-0.0415959013	-0.1085554448	0.0689151908	0.0949768898	-0.238087192	-0.0148998994	0.10483775199999999	0.0683452771	-0.0821919009	0.0605064666	0.1184713003	-0.014753138600000004	-0.10873213080000001	0.0690098636	0.1261350661	0.11893750039999999	0.1072442319	-0.0203785	-0.008647	0.0004152832622500001	7.477060900000001e-05	-0.000611148	-0.009461297999999998	3.735018779040001e-07	8.951615984480397e-05	0.0276254	-0.003914899999999999	1.532644200999999e-05	0.0007631627251599999	-0.0005921780000000001	0.0	3.506747836840001e-07	0.0	-0.000479072	0.00033303300000000005	2.2950998118400002e-07	1.1091097908900004e-07	0.000972554	0.00033878099999999986	1.1477256596099995e-07	9.458612829159998e-07	0.0	0.0	0.0	0.0
1460.8704823854175	-1.9372748891394167	3.7530339960901387	2134142.5663050027	2160.876946333556	-2.568673839345593	6.598085292938428	4669389.177195834	1778.3725926745428	-0.3479328743399037	0.12105728504642725	3162609.078375976	1792.5163879156396	1520.0897694147488	0.90248	9.832767	0.057448362	0.028449400000000007	-0.0734339899	0.0495087519	-0.1415461166	0.0640679827	0.09219373439999999	0.055977186	0.0915549905	-0.0353072435	0.0158424509	0.021245631600000002	-0.010355907900000001	0.0371772064	-0.0353770152	0.058785868	-0.0043274178	-0.17980746399999994	0.0332325089	-0.0315574558	0.0133255168	-0.0304092129	0.0535342822	-0.09414691189999999	0.0599987143	-0.037723221200000004	0.1709830816	-0.12711271130000001	-0.1432172768	-0.09270875320000001	-0.0371746835	-0.023102542400000002	0.0110632219	-0.1136993609	-0.0195786305	0.0020777368	-0.0194025281	0.149259865	0.0455714074	0.1215088191	-0.23321941399999999	0.1575794715	0.0657557796	-0.008073930600000001	0.02415148	-0.0248987833	0.08218818580000001	-0.067990398	0.1257049926	-0.1409421883	0.0188326494	-0.0039018489	0.0585179029	-0.041184194199999996	0.06241163900000001	-0.0547502491	0.09721804939999999	-0.126632691	0.19705219440000002	0.172939024	-0.0390005088	-0.017076218	-0.0096689896	0.0353658438	-0.0562121598	-0.0561997357	0.052093766500000006	-0.022806447599999998	-0.1547134327	-0.1394237438	-0.0443278846	0.0437180305	-0.2233808122	-0.0600776252	-0.0385458029	0.00364214	0.028393444700000006	0.0366830882	0.125446728	0.11624355550000001	0.101401769	-0.00874124	0.01163726	7.640927673760002e-05	0.0001354258203076	-0.0117265	-0.011115352	0.00013751080225000002	0.000123551050083904	0.0245623	-0.003063100000000002	9.382581610000017e-06	0.0006033065812899999	-0.000955745	-0.000363567	9.13448505025e-07	1.3218096348900002e-07	-0.000652432	-0.00017336	4.2566751462399997e-07	3.00536896e-08	0.00106828	9.572600000000008e-05	9.163467076000015e-09	1.1412221584e-06	0.0	0.0	0.0	0.0
1460.3580827003977	-0.5123996850197727	0.26255343720836233	2132645.729708382	2160.1768679242386	-0.7000784093174843	0.4901097791924992	4666364.100714973	1777.9637962661375	-0.40879640840535103	0.16711450352511456	3161155.2608330958	1792.212233940947	1533.4728672385015	1.040183	11.333074	0.1596900994	0.0953683	-0.0305126221	0.0792776774	-0.1265026418	0.0092267293	0.0241681536	0.0051005401	0.0252070348	-0.0663244955	0.050227748499999995	0.0340809632	-0.1374890822	-0.07656760230000001	-0.0997643686	0.0340745114	-0.10135693789999999	-0.086121003	0.0469594465	0.009398296	0.0088004788	-0.10725956029999999	-0.0652672153	0.0305975686	-0.0251988573	0.1117293149	0.1344988093	0.0281357732	-0.1558176547	-0.07864251650000001	0.028821723799999997	0.0032057736	0.1017099947	0.021864449700000003	-0.0570627391	0.0407932579	-0.055231585300000004	0.1416060284	0.0618975554	-0.0324647534	-0.0171103441	-0.104022937	-0.0291842619	-0.13029829769999998	0.2437245389	0.034577571	0.1444910909	-0.1406159974	0.034645380499999996	-0.1013533508	-0.0215280574	0.0312462358	0.1239285176	0.0462642176	-0.0282222817	0.0077084484	-0.0766641659	-0.0815626436	0.0417476401	0.2277562541	-0.012699710800000001	0.011960659299999999	-0.0894257724	-0.0082723368	0.0589058749	-0.0542986496	0.0909775322	-0.0341878651	-0.0718336041	-0.0071679935	-0.0848442953	-0.077857942	0.08454859390000001	-0.053613339	-0.004794765	0.1601037535	-0.010289261899999999	0.18337056170000002	0.1246738301	0.1132362385	0.09494441599999999	-3.50306e-05	0.008706209400000001	1.2271429363599996e-09	7.579808211664838e-05	-0.0013166600000000005	0.01040984	1.7335935556000011e-06	0.0001083647688256	0.0246314	6.910000000000249e-05	4.774810000000345e-09	0.00060670586596	-0.0005921780000000001	0.000363567	3.506747836840001e-07	1.3218096348900002e-07	0.00014557899999999998	0.0007980110000000001	2.1193245241e-08	6.368215561209999e-07	-0.000580241	-0.001648521	2.717621487441e-06	3.3667961808099997e-07	0.0	0.0	0.0	0.0
